ip,date_time,request,step,session,user_id
nus138540-5.gw.conne,27/Apr/2005:11:41:26,/,1,349,349
203-217-65-124.dyn.i,27/Apr/2005:12:58:22,/,1,356,356
visp.inabox.telstra.,27/Apr/2005:13:51:23,/,1,360,360
charon.codan.com.au,27/Apr/2005:14:23:14,/,1,361,361
vpn.ausenco.com,27/Apr/2005:14:24:41,/,1,362,362
202.172.104.190,27/Apr/2005:16:01:53,/,1,365,365
ade-ce2.chariot.net.,27/Apr/2005:16:08:11,/,1,366,366
042.058.dsl.mel.ipri,27/Apr/2005:16:11:12,/,1,367,367
ncao.vtcif.telstra.c,27/Apr/2005:16:14:09,/,1,369,369
lj2521.inktomisearch,27/Apr/2005:16:24:12,/,1,372,372
cpe-144-131-26-120.v,27/Apr/2005:16:36:46,/,1,374,374
202-14-148-097-soho.,27/Apr/2005:17:16:24,/,1,375,375
adsl-1-076.qld.dft.c,27/Apr/2005:20:01:06,/,1,381,381
cpe-138-130-253-214.,27/Apr/2005:21:40:55,/,1,383,383
cpe-60-226-3-165.qld,27/Apr/2005:21:52:59,/,1,384,384
141394-ppp248.for.kb,27/Apr/2005:22:25:45,/,1,387,387
202.47.46.142,28/Apr/2005:10:50:42,/,1,396,396
d220-236-62-169.dsl.,28/Apr/2005:12:38:43,/,1,399,399
d220-236-62-169.dsl.,28/Apr/2005:12:51:57,/,2,399,399
220.b.001.ncl.iprimu,28/Apr/2005:12:53:09,/,1,400,400
144.138.100.213,28/Apr/2005:13:59:27,/,1,401,401
nas-1-bgo-68.origin.,28/Apr/2005:14:07:03,/,1,402,402
203.89.97.13,28/Apr/2005:14:29:36,/,1,404,404
220-244-53-254-qld.t,28/Apr/2005:14:37:14,/,1,405,405
c220-237-150-58.brod,28/Apr/2005:15:12:41,/,1,409,409
cpe-60-231-92-177.ql,28/Apr/2005:15:28:22,/,1,410,410
cpe-138-130-192-171.,28/Apr/2005:15:56:37,/,1,411,411
cpe-138-130-192-171.,28/Apr/2005:16:06:16,/,1,415,415
lj2521.inktomisearch,28/Apr/2005:20:09:47,/,1,425,425
dsl-24.221.240.220.d,28/Apr/2005:20:21:20,/,1,427,427
211.27.167.207,28/Apr/2005:22:45:37,/,5,435,435
cpe-60-231-60-252.ql,28/Apr/2005:23:18:36,/,1,438,438
66-194-6-80.gen.twte,28/Apr/2005:23:42:10,/,1,441,441
cpe-144-136-208-189.,29/Apr/2005:00:26:22,/,1,446,446
i122080170.rivernet.,29/Apr/2005:01:38:02,/,1,451,451
web5.treasury.qld.go,29/Apr/2005:08:36:54,/,1,465,465
cpe-60-231-129-142.q,29/Apr/2005:08:49:06,/,1,466,466
220-244-187-6-qld.tp,29/Apr/2005:10:48:45,/,1,470,470
proxy4.cc.swin.edu.a,29/Apr/2005:11:17:06,/,1,472,472
cache2.uwn.unsw.edu.,29/Apr/2005:11:27:39,/,1,473,473
dsl-210-15-203-247.q,29/Apr/2005:13:26:23,/,1,479,479
syd_ca01,29/Apr/2005:13:57:43,/,1,480,480
cpe-203-51-252-24.ql,29/Apr/2005:14:44:28,/,1,483,483
murax1-142.dialup.op,29/Apr/2005:15:59:43,/,1,491,491
188.ade0507.ade.ipri,29/Apr/2005:16:20:57,/,1,496,496
1cust65.tnt2.mel1.da,29/Apr/2005:17:43:42,/,1,500,500
cpe-203-51-208-9.qld,29/Apr/2005:18:43:25,/,1,501,501
60-240-149-76.tpgi.c,30/Apr/2005:01:07:57,/,1,513,513
ppp205-192.lns1.syd3,30/Apr/2005:02:20:05,/,2,514,514
65.57.245.11,30/Apr/2005:05:40:30,/,1,520,520
d211-31-174-186.dsl.,30/Apr/2005:09:26:55,/,1,526,526
cpe-203-45-149-96.ql,30/Apr/2005:11:30:11,/,1,527,527
cpe-139-168-162-111.,30/Apr/2005:11:45:40,/,1,528,528
r220-101-3-254.cpe.u,30/Apr/2005:12:46:34,/,1,529,529
nat.whitley.unimelb.,30/Apr/2005:14:28:04,/,1,531,531
cpe-144-131-172-87.v,30/Apr/2005:14:42:20,/,1,532,532
cpe-144-131-172-87.v,30/Apr/2005:15:19:24,/,2,532,532
cpe-144-131-208-80.q,30/Apr/2005:15:26:55,/,1,533,533
203.84.64.13.in-addr,30/Apr/2005:17:05:56,/,1,539,539
c220-237-90-188.ipsw,30/Apr/2005:17:30:32,/,1,540,540
cpe-147-10-164-21.ns,30/Apr/2005:18:18:42,/,1,542,542
c211-31-21-35.rivrw6,30/Apr/2005:20:32:31,/,1,545,545
d220-236-111-111.dsl,30/Apr/2005:20:39:09,/,1,546,546
c211-31-50-228.rivrw,30/Apr/2005:21:23:06,/,1,547,547
s06.stu.newman.unime,30/Apr/2005:22:15:54,/,1,548,548
r220-101-72-103.cpe.,30/Apr/2005:22:39:35,/,1,551,551
203.51.20.77,30/Apr/2005:22:44:40,/,1,552,552
c211-30-158-144.blkt,30/Apr/2005:22:54:20,/,1,553,553
syd-pow-pr5.tpgi.com,30/Apr/2005:23:23:22,/,1,554,554
crawl-66-249-64-55.g,01/May/2005:00:31:27,/,1,556,556
66-194-6-73.gen.twte,01/May/2005:01:55:28,/,1,558,558
219.cust6.qld.dsl.oz,01/May/2005:10:29:48,/,1,567,567
4.67.233.220.exetel.,02/May/2005:16:41:23,/,1,580,580
cpe-138-130-91-109.n,02/May/2005:17:02:51,/,1,582,582
203.26.66.28,02/May/2005:17:29:25,/,1,583,583
cpe-60-231-146-192.q,02/May/2005:18:38:14,/,7,585,585
7.cust5.qld.dsl.ozem,02/May/2005:23:00:50,/,1,589,589
1cust64.tnt3.bne1.da,03/May/2005:09:00:50,/,1,592,592
dknrgwpxav02.defence,03/May/2005:09:47:11,/,1,593,593
rypp-p-144-139-145-2,03/May/2005:09:58:20,/,1,595,595
220-244-53-254-qld.t,03/May/2005:10:31:17,/,1,597,597
mailef.switch.aust.c,03/May/2005:11:16:44,/,1,599,599
cpe-203-51-117-18.ns,03/May/2005:11:52:18,/,1,600,600
cache5.syd.ops.aspac,03/May/2005:12:06:53,/,1,601,601
visp.inabox.net,03/May/2005:12:43:19,/,1,602,602
cpe-139-168-174-141.,03/May/2005:14:03:45,/,3,603,603
cpe-139-168-174-141.,03/May/2005:14:05:45,/,10,603,603
cpe-139-168-174-141.,03/May/2005:14:05:47,/,15,603,603
cpe-139-168-171-67.q,03/May/2005:15:01:54,/,1,604,604
203-219-138-74-qld.t,03/May/2005:15:52:11,/,1,607,607
cpe-144-136-196-191.,03/May/2005:20:34:34,/,1,609,609
1cust202.tnt1.bne1.d,03/May/2005:21:11:17,/,1,610,610
egspd42466.ask.com,04/May/2005:01:19:23,/,2,612,612
server.customizedsti,04/May/2005:07:07:04,/,1,613,613
server.customizedsti,04/May/2005:07:07:57,/,1,615,615
syd-pow-pr3.tpgi.com,04/May/2005:08:54:49,/,1,622,622
adsl-3-218.nsw.dft.c,04/May/2005:09:30:19,/,1,624,624
doc.its.unimelb.edu.,04/May/2005:09:41:02,/,1,625,625
qldrug.lnk.telstra.n,04/May/2005:09:48:27,/,1,626,626
202-124-38-38.adsl.g,04/May/2005:09:57:34,/,1,627,627
cpe-60-231-133-143.q,04/May/2005:10:30:53,/,1,635,635
cpe-144-137-148-107.,04/May/2005:12:25:10,/,1,637,637
202.92.87.110,04/May/2005:15:23:40,/,1,641,641
syd-nxg-pr7.tpgi.com,04/May/2005:15:34:30,/,1,645,645
cpe-60-231-133-31.ql,04/May/2005:15:42:31,/,1,646,646
crawl-66-249-66-164.,04/May/2005:16:58:51,/,2,648,648
210.50.143.22,04/May/2005:21:09:15,/,1,657,657
8-9745.san2.attens.n,04/May/2005:22:57:06,/,2,662,662
cpe-60-226-8-227.qld,05/May/2005:01:02:42,/,1,665,665
cpe-60-226-8-227.qld,05/May/2005:01:02:55,/,3,665,665
cpe-60-226-8-227.qld,05/May/2005:01:03:04,/,5,665,665
cpe-60-226-8-227.qld,05/May/2005:01:03:23,/,7,665,665
cpe-60-226-8-227.qld,05/May/2005:01:03:29,/,9,665,665
dione.cc.uq.edu.au,05/May/2005:01:48:43,/,1,667,667
egspd42466.ask.com,05/May/2005:03:41:34,/,2,668,668
61.8.113.77,05/May/2005:09:04:27,/,1,675,675
webcache2.itc.griffi,05/May/2005:10:01:41,/,1,680,680
236.cust12.qld.dsl.o,05/May/2005:10:10:42,/,1,681,681
65.57.245.11,05/May/2005:10:26:26,/,1,682,682
203.52.130.137,05/May/2005:12:01:14,/,1,684,684
dsl-202-173-142-169.,05/May/2005:12:10:50,/,1,685,685
prx6.waceo.schools.n,05/May/2005:12:51:37,/,1,687,687
cpe-144-137-129-143.,05/May/2005:13:15:09,/,1,689,689
acc1-ppp102.cof.dial,05/May/2005:13:52:49,/,1,690,690
smtp.virginblue.com.,05/May/2005:15:37:02,/,1,693,693
202.72.148.102,05/May/2005:16:25:10,/,1,700,700
dialup-243.130.220.2,05/May/2005:16:28:59,/,1,702,702
cpe-60-226-21-248.ql,05/May/2005:17:32:40,/,1,704,704
mel-ce1.vic.chariot.,05/May/2005:17:44:46,/,1,705,705
d211-31-190-243.dsl.,05/May/2005:17:49:15,/,1,706,706
66-194-6-80.gen.twte,05/May/2005:20:21:51,/,1,708,708
wooax9-043.dialup.op,05/May/2005:22:59:46,/,1,712,712
lj2521.inktomisearch,06/May/2005:08:10:52,/,1,722,722
crawl-66-249-66-164.,06/May/2005:09:15:27,/,2,724,724
147.10.80.62,06/May/2005:09:30:54,/,1,727,727
147.10.80.62,06/May/2005:09:31:06,/,2,727,727
mynah0.connect.com.a,06/May/2005:13:13:37,/,1,741,741
labserver2.vca.unime,06/May/2005:14:31:07,/,1,760,760
bookwo1.lnk.telstra.,06/May/2005:14:59:08,/,1,761,761
sales.mundipharma.co,06/May/2005:15:41:11,/,1,764,764
cpe-203-51-240-82.ql,06/May/2005:15:56:07,/,1,767,767
www-cache1.usyd.edu.,06/May/2005:15:56:11,/,1,768,768
cpe-203-51-240-82.ql,06/May/2005:15:56:52,/,1,770,770
203-206-159-154.dyn.,06/May/2005:16:21:55,/,1,771,771
crawl-66-249-66-164.,06/May/2005:16:53:04,/,2,772,772
smtp.virginblue.com.,06/May/2005:17:04:41,/,1,773,773
smtp.virginblue.com.,06/May/2005:17:41:02,/,1,776,776
d220-236-23-240.dsl.,06/May/2005:18:03:33,/,1,777,777
happ-p-144-134-61-42,06/May/2005:23:15:13,/,1,785,785
60-240-140-13.vic-pp,07/May/2005:00:09:37,/,1,786,786
148.011.dsl.qld.ipri,07/May/2005:01:22:47,/,1,790,790
sxpp-p-144-139-125-8,07/May/2005:10:04:24,/,1,801,801
cpe-60-226-63-93.qld,07/May/2005:12:00:52,/,1,808,808
cpe-203-45-253-10.ql,07/May/2005:12:23:24,/,4,812,812
cpe-203-45-253-10.ql,07/May/2005:13:56:44,/,1,816,816
proxy3.cc.swin.edu.a,07/May/2005:14:12:39,/,1,817,817
dsl-220-235-72-134.q,07/May/2005:16:52:57,/,1,820,820
cpe-60-226-57-128.ql,07/May/2005:17:38:35,/,1,821,821
cr1.sensis.com.au,07/May/2005:19:06:54,/,2,822,822
wooax9-220.dialup.op,07/May/2005:21:46:13,/,1,825,825
107.a.004.brs.iprimu,08/May/2005:00:15:43,/,1,836,836
107.a.004.brs.iprimu,08/May/2005:00:18:56,/,22,836,836
66-194-6-84.gen.twte,08/May/2005:07:27:44,/,1,843,843
1.cust21.qld.dsl.oze,08/May/2005:14:27:10,/,1,849,849
cpe-139-168-171-67.q,08/May/2005:15:20:48,/,1,850,850
144.138.100.73,08/May/2005:16:02:47,/,1,851,851
rdlax12-a079.dialup.,08/May/2005:17:47:58,/,1,853,853
cpe-147-10-102-79.ql,08/May/2005:19:05:54,/,1,856,856
syd-nxg-pr7.tpgi.com,08/May/2005:21:28:39,/,1,859,859
c220-237-70-252.kelv,08/May/2005:22:23:09,/,1,863,863
cpe-60-226-3-165.qld,08/May/2005:23:49:40,/,1,864,864
cpe-60-231-77-45.qld,09/May/2005:05:36:26,/,1,868,868
cpe-139-168-171-67.q,09/May/2005:08:44:04,/,1,869,869
61.88.19.82,09/May/2005:11:00:12,/,1,873,873
w-link.cadretechnolo,09/May/2005:11:09:08,/,1,874,874
sales.mundipharma.co,09/May/2005:11:26:56,/,1,875,875
cpe-138-130-240-231.,09/May/2005:11:39:25,/,1,876,876
cpe-139-168-171-67.q,09/May/2005:12:10:33,/,1,877,877
smtp.virginblue.com.,09/May/2005:12:17:23,/,1,878,878
cpe-147-10-80-62.qld,09/May/2005:12:25:24,/,1,881,881
210.8.58.188,09/May/2005:12:50:57,/,1,884,884
cpe-144-131-216-86.q,09/May/2005:14:13:44,/,1,889,889
cpe-144-131-216-86.q,09/May/2005:14:14:38,/,3,889,889
toyotaau2.toyota.com,09/May/2005:14:24:05,/,1,891,891
220-244-144-238-qld.,09/May/2005:14:44:11,/,1,892,892
220-244-144-238-qld.,09/May/2005:14:45:04,/,13,892,892
dsl-202-173-191-115.,09/May/2005:15:08:33,/,1,893,893
dsl-202-173-191-115.,09/May/2005:15:08:43,/,5,893,893
dsl-202-173-191-115.,09/May/2005:15:08:47,/,7,893,893
dsl-202-173-191-115.,09/May/2005:15:09:03,/,9,893,893
dsl-202-173-191-115.,09/May/2005:15:09:04,/,10,893,893
dsl-220-253-78-225.n,09/May/2005:16:28:08,/,1,896,896
cpe-147-10-80-62.qld,09/May/2005:16:34:05,/,1,897,897
ns1.bit-mail.net,09/May/2005:17:00:59,/,1,898,898
202.65.94.62,09/May/2005:17:09:23,/,1,899,899
syd_ca01,09/May/2005:18:29:42,/,1,900,900
203-206-238-167.dyn.,09/May/2005:18:38:03,/,1,901,901
081.a.004.syd.iprimu,09/May/2005:19:45:58,/,1,902,902
151.cust35.nsw.dsl.o,09/May/2005:21:24:26,/,1,904,904
d211-31-217-201.dsl.,09/May/2005:22:16:07,/,1,905,905
66-194-6-70.gen.twte,10/May/2005:02:53:41,/,1,907,907
dex-252-16.dxi.net,10/May/2005:07:00:28,/,1,908,908
cpe-60-226-70-121.ql,10/May/2005:08:55:43,/,1,909,909
visp.inabox.net,10/May/2005:09:21:23,/,1,912,912
c113.34.135.144.sate,10/May/2005:10:07:49,/,1,914,914
visp.inabox.net,10/May/2005:11:01:09,/,3,919,919
redback.sge.net,10/May/2005:11:13:56,/,1,920,920
cpe-139-168-171-67.q,10/May/2005:13:33:31,/,1,926,926
bri-pow-pr3.tpgi.com,10/May/2005:14:14:43,/,1,930,930
castor.usq.edu.au,10/May/2005:14:55:11,/,1,931,931
cpe-138-217-186-245.,10/May/2005:16:02:14,/,1,941,941
cpe-138-130-222-62.q,10/May/2005:16:41:26,/,20,944,944
61.88.19.82,10/May/2005:19:37:11,/,1,951,951
c210-49-25-182.fitzg,10/May/2005:20:08:54,/,1,952,952
smtp.virginblue.com.,11/May/2005:09:07:37,/,1,958,958
cpe-203-51-234-80.ql,11/May/2005:12:33:02,/,1,967,967
cpe-143-238-165-225.,11/May/2005:14:42:46,/,1,971,971
hyp-vic-rdsl105.hype,11/May/2005:15:04:03,/,1,972,972
c210-49-39-196.rochd,11/May/2005:15:38:38,/,1,973,973
smtp.virginblue.com.,11/May/2005:15:51:43,/,1,974,974
gcccscn.dsl.onthenet,11/May/2005:15:56:37,/,1,975,975
cpe-61-9-219-138.qld,11/May/2005:16:38:28,/,1,976,976
210.18.104.58.sify.n,11/May/2005:16:58:51,/,1,977,977
203-59-184-205.dyn.i,11/May/2005:17:12:20,/,1,978,978
c210-49-24-254.fitzg,11/May/2005:17:48:12,/,1,980,980
cpe-60-230-101-166.v,11/May/2005:18:14:41,/,1,982,982
cor6-ppp1753.for.dsl,11/May/2005:18:26:58,/,1,983,983
ruralp41.lnk.telstra,11/May/2005:19:28:05,/,1,988,988
wopr-p-144-134-185-3,11/May/2005:20:01:04,/,1,990,990
proxy2-mercury.net.q,11/May/2005:21:25:37,/,1,992,992
mail.theonlineprinte,11/May/2005:23:14:37,/,1,994,994
64.62.168.23,12/May/2005:04:11:21,/,1,998,998
d220-236-6-51.dsl.ns,12/May/2005:08:26:32,/,1,1008,1008
allptrs.eq.edu.au,12/May/2005:08:39:11,/,1,1011,1011
220-244-144-238-qld.,12/May/2005:08:49:58,/,1,1012,1012
60-240-146-220.tpgi.,12/May/2005:09:47:31,/,1,1014,1014
cpe-139-168-171-67.q,12/May/2005:10:26:20,/,1,1015,1015
cpe-203-45-149-96.ql,12/May/2005:10:30:50,/,1,1016,1016
cpe-203-51-234-80.ql,12/May/2005:10:54:24,/,2,1018,1018
cpe-203-45-149-96.ql,12/May/2005:13:25:13,/,1,1021,1021
c210-49-16-71.fitzg1,12/May/2005:13:41:36,/,1,1022,1022
mail.workpac.com,12/May/2005:13:46:23,/,1,1023,1023
122.cust31.nsw.dsl.o,12/May/2005:13:59:54,/,1,1024,1024
203.1.237.40,12/May/2005:14:14:58,/,1,1025,1025
cpe-138-130-240-231.,12/May/2005:16:59:15,/,1,1027,1027
cpe-144-131-24-174.v,12/May/2005:17:27:27,/,1,1028,1028
d220-236-84-221.dsl.,12/May/2005:19:10:23,/,3,1029,1029
ns.detir.qld.gov.au,12/May/2005:19:22:31,/,1,1030,1030
203-166-232-23.dyn.i,12/May/2005:20:56:22,/,1,1031,1031
66-194-6-81.gen.twte,12/May/2005:21:17:14,/,1,1033,1033
l3-202-89-190-230.ar,12/May/2005:22:05:51,/,1,1036,1036
203-59-194-111.dyn.i,12/May/2005:23:32:00,/,1,1038,1038
60-240-151-62.tpgi.c,13/May/2005:00:12:10,/,1,1040,1040
60-240-151-62.tpgi.c,13/May/2005:00:14:02,/,2,1040,1040
60-240-151-62.tpgi.c,13/May/2005:00:24:30,/,3,1040,1040
cpe-138-217-191-163.,13/May/2005:00:56:07,/,1,1041,1041
bri-pow-pr3.tpgi.com,13/May/2005:10:46:17,/,1,1048,1048
cpe-203-45-149-96.ql,13/May/2005:14:33:29,/,1,1052,1052
203.51.231.107,13/May/2005:15:13:58,/,1,1053,1053
c24.177.134.6.static,13/May/2005:15:26:37,/,2,1056,1056
cpe-203-45-149-96.ql,13/May/2005:15:59:02,/,1,1058,1058
capilano-link.bne.co,13/May/2005:16:23:24,/,1,1060,1060
cpe-144-136-132-34.q,13/May/2005:17:24:06,/,1,1065,1065
cpe-144-136-132-34.q,13/May/2005:17:24:25,/,3,1065,1065
lj2521.inktomisearch,13/May/2005:20:10:59,/,1,1069,1069
cor4-ppp59.for.dialu,13/May/2005:21:34:45,/,1,1073,1073
c210-49-96-107.rochd,13/May/2005:22:26:18,/,1,1075,1075
adl-pow-pr1.tpgi.com,14/May/2005:01:00:44,/,1,1089,1089
ctpp-p-144-134-145-1,14/May/2005:06:15:56,/,1,1094,1094
dsl-220-235-72-176.q,14/May/2005:08:06:22,/,1,1095,1095
bcfw1.ocm.alfomc.net,14/May/2005:08:10:15,/,1,1096,1096
cpe-143-238-135-190.,14/May/2005:09:04:22,/,1,1098,1098
64.210.196.197,14/May/2005:09:50:21,/,2,1103,1103
222-153-188-4.jetstr,14/May/2005:13:32:57,/,1,1110,1110
66-194-6-71.gen.twte,14/May/2005:14:49:15,/,1,1111,1111
144.138.219.148,14/May/2005:15:13:22,/,1,1113,1113
203-173-35-27.dyn.ii,14/May/2005:15:35:46,/,1,1114,1114
ppp113-9.lns1.bne3.i,14/May/2005:15:49:12,/,1,1115,1115
cpe-138-130-229-185.,14/May/2005:21:58:53,/,1,1123,1123
d220-236-219-16.dsl.,14/May/2005:22:03:30,/,1,1124,1124
crawl-66-249-71-70.g,15/May/2005:04:39:25,/,2,1134,1134
c220-237-67-254.kelv,15/May/2005:10:26:51,/,1,1146,1146
sxpp-p-144-139-125-1,15/May/2005:10:28:19,/,1,1147,1147
cpe-141-168-102-251.,15/May/2005:10:49:36,/,1,1150,1150
cpe-60-231-48-151.ql,15/May/2005:13:26:07,/,1,1160,1160
bbcache-115.singnet.,15/May/2005:13:30:38,/,1,1162,1162
bbcache-115.singnet.,15/May/2005:13:30:38,/,2,1162,1162
